Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC+,BsR,Fld,Off,Def,WAR,playerid
Brian Anderson,Marlins,150,655,576,149,33,2,21,76,76,59,139,12,5,2,0.259,0.339,0.432,0.771,0.328,105,0.1,1.1,4.7,-1.9,2.3,18289
Miguel Sano,Twins,138,581,504,124,24,2,37,84,97,67,203,4,1,1,0.246,0.337,0.519,0.856,0.355,121,-1.4,-0.5,14.3,-10.9,2.3,12164
Roberto Perez,Indians,90,356,312,68,13,1,14,40,43,36,105,3,1,0,0.219,0.303,0.399,0.703,0.3,81,-0.9,3.7,-9.6,11.3,2.3,2900
Yandy Diaz,Rays,136,586,508,139,26,2,13,69,63,68,112,4,5,2,0.274,0.361,0.41,0.771,0.333,111,-0.2,-0.9,7.7,-5.1,2.3,16578
Didi Gregorius,Phillies,141,600,553,143,27,3,24,70,83,36,87,5,6,2,0.259,0.308,0.451,0.759,0.317,93,1.6,0.1,-3.7,7.1,2.2,6012
Eduardo Escobar,Diamondbacks,150,651,590,152,32,7,25,80,87,49,129,5,4,2,0.257,0.317,0.462,0.779,0.324,98,0.6,0.1,-1.2,2.6,2.2,6153
J.P. Crawford,Mariners,149,638,552,129,27,4,14,70,60,71,135,6,8,4,0.233,0.324,0.372,0.696,0.303,91,0.6,-0.6,-7,6.8,2.2,15491
Adam Eaton,Nationals,146,656,569,161,30,5,15,90,65,66,114,12,12,4,0.282,0.366,0.433,0.799,0.343,109,2.1,-1.3,9.7,-8.6,2.2,11205
Andrew McCutchen,Phillies,131,590,502,130,25,2,27,83,74,75,131,6,8,4,0.258,0.359,0.476,0.835,0.353,117,-0.9,-2.3,12,-8.9,2.2,9847
Jorge Soler,Royals,149,637,551,142,30,1,34,87,96,72,171,8,3,2,0.257,0.349,0.503,0.852,0.356,121,-0.5,-0.9,16.4,-16.7,2.2,14221
Danny Jansen,Blue Jays,72,283,250,62,13,1,10,34,34,25,51,5,2,1,0.249,0.326,0.431,0.757,0.321,99,0.2,0.6,0,6.6,2.1,16535
Cavan Biggio,Blue Jays,136,592,499,117,24,3,20,76,66,82,154,4,12,5,0.234,0.345,0.413,0.758,0.326,103,1.1,-0.3,3.5,-2.8,2.1,19252
Mike Moustakas,Reds,146,626,563,144,28,1,36,83,98,51,111,6,3,1,0.256,0.323,0.503,0.826,0.34,107,-2.2,-4.3,3.2,-1.9,2.1,4892
Matt Carpenter,Cardinals,125,554,462,109,27,2,22,74,61,78,139,7,5,2,0.237,0.352,0.441,0.793,0.337,110,-0.2,-5.9,7.3,-4.1,2.1,8090
Whit Merrifield,Royals,150,688,624,176,37,6,14,90,65,48,114,6,23,8,0.282,0.337,0.426,0.763,0.323,99,2.7,-5.2,1.6,-5,2,11281
Gavin Lux,Dodgers,130,530,477,127,23,4,17,62,65,44,109,3,9,4,0.266,0.329,0.437,0.766,0.324,102,0.5,-0.9,2.1,1.3,2,19955
Tim Anderson,White Sox,150,638,599,165,33,1,21,78,79,26,143,4,17,6,0.275,0.308,0.441,0.748,0.314,97,1.2,-7.9,-1.6,-0.4,2,15172
Cesar Hernandez,Indians,133,578,506,140,26,2,11,71,56,59,99,5,9,4,0.277,0.355,0.399,0.754,0.325,98,0.6,-1.3,-0.9,0.9,2,10556
